Old ID,HR,rMSSD,pNN50,SDNN,HF,LF,LFHF,VLF,ULF,Time,Exp,Participant,Step,Seq,ID,No-Step
PS-9_001_11_05_21_12_08_37_0.csv,77.31389877,55.4945759,17.44966443,92.01761614,581.317281,2409.009683,4.144053105,2094.714886,3812.940262,120.5861965,9,1,11,0,9_1_11_0,1_11_0
PS-9_001_11_05_21_12_08_37_1.csv,78.66293827,39.77448327,14.9068323,51.62086566,302.9460958,466.3529656,1.539392559,281.1275685,396.52619,120.4256242,9,1,11,1,9_1_11_1,1_11_1
PS-9_002_11_05_21_12_05_40_0.csv,77.77016801,51.80498114,20.80536913,108.9825502,190.5658036,2052.037517,10.76813089,445.9976028,5060.003646,120.5203669,9,2,11,0,9_2_11_0,2_11_0
PS-9_002_11_05_21_12_05_40_1.csv,77.96330107,64.84943566,24.83221477,98.92824773,422.9992655,1726.516258,4.081605806,837.4263857,968.4558894,120.1654924,9,2,11,1,9_2_11_1,2_11_1
PS-9_005_11_05_25_12_28_57_0.csv,82.47977705,49.52622702,26.2195122,93.44731067,347.3764046,680.6379249,1.959367176,240.8174468,1217.66191,120.414715,9,5,11,0,9_5_11_0,5_11_0
PS-9_005_11_05_25_12_28_57_1.csv,87.45117188,37.79167097,19.31818182,45.9973271,333.9737822,386.544238,1.15740893,154.7347519,140.6283255,120.7005327,9,5,11,1,9_5_11_1,5_11_1
PS-9_006_11_05_25_12_23_59_0.csv,77.02987248,33.68479847,9.615384615,61.17475934,221.5857804,855.5073481,3.860840467,372.4322738,296.4083467,120.8003107,9,6,11,0,9_6_11_0,6_11_0
PS-9_006_11_05_25_12_23_59_1.csv,77.47953731,27.3678092,7.692307692,40.17201999,101.5133096,308.1586744,3.035647992,248.644363,205.9668513,120.1100452,9,6,11,1,9_6_11_1,6_11_1
PS-9_007_11_05_22_14_41_39_0.csv,67.65005191,45.07717904,21.01449275,65.88121447,318.6380352,700.0243425,2.196926497,396.9415145,293.6516162,120.8797335,9,7,11,0,9_7_11_0,7_11_0
PS-9_007_11_05_22_14_41_39_1.csv,66.796875,45.61986671,25.73529412,65.04160657,340.0767635,537.2086268,1.579668723,478.2389995,358.7358181,120.5635323,9,7,11,1,9_7_11_1,7_11_1
PS-9_008_11_05_22_14_55_45_0.csv,83.19225051,45.85419774,15.03267974,61.65581059,158.5813195,542.5616052,3.421346265,233.033581,370.0845406,120.0128779,9,8,11,0,9_8_11_0,8_11_0
PS-9_009_11_05_24_19_02_38_0.csv,81.05303449,32.01514184,12.80487805,39.67097416,115.4016578,112.558192,0.975360269,128.8606963,192.5265864,120.4111476,9,9,11,0,9_9_11_0,9_11_0
